time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
53.53333612,0.01729061,0.00527138,0.00000947,328857.00000000,0.01744365,0.000000,0.000000
53.55000279,0.01727698,0.00791540,0.00000472,330679.00000000,0.01445564,0.000000,0.000000
53.56666946,0.01804612,0.14532147,0.00000269,331987.00000000,0.17802811,0.000000,0.000000
53.58333613,0.01833488,0.01493852,0.00005195,342722.00000000,0.07868478,0.000000,0.000000
53.60000280,0.01828505,0.00348628,0.00000254,344088.00000000,0.00782266,0.000000,0.000000
53.61666946,0.01829880,0.00768384,0.00000743,345805.00000000,0.02119818,0.000000,0.000000
53.63333613,0.01833649,0.00784630,0.00001171,348322.00000000,0.02632673,0.000000,0.000000
53.65000280,0.01831468,0.00673916,0.00000471,344081.00000000,0.01367065,0.000000,0.000000
53.66666947,0.01828704,0.00445648,0.00000544,345203.00000000,0.01237211,0.000000,0.000000
53.68333613,0.01829669,0.00877968,0.00000882,346917.00000000,0.02037000,0.000000,0.000000
53.70000280,0.01825755,0.00453503,0.00000373,348525.00000000,0.00980371,0.000000,0.000000
53.71666947,0.01823974,0.00872438,0.00000255,350239.00000000,0.01437512,0.000000,0.000000
53.73333614,0.01821989,0.00600162,0.00000513,352831.00000000,0.01389220,0.000000,0.000000
53.75000280,0.01828804,0.01161601,0.00001743,354792.00000000,0.03321315,0.000000,0.000000
53.76666947,0.01825392,0.00522669,0.00000397,356277.00000000,0.01074697,0.000000,0.000000
53.78333614,0.01822945,0.00586886,0.00000510,357910.00000000,0.01282321,0.000000,0.000000
53.80000281,0.01825559,0.00872184,0.00001248,359637.00000000,0.02405860,0.000000,0.000000
53.81666947,0.01837317,0.01574345,0.00001462,361424.00000000,0.04459384,0.000000,0.000000
53.83333614,0.01838264,0.00411368,0.00001015,363093.00000000,0.02050367,0.000000,0.000000
53.85000281,0.01836804,0.00301301,0.00000797,364315.00000000,0.01508239,0.000000,0.000000
53.86666948,0.01835832,0.00533531,0.00000736,366032.00000000,0.01616235,0.000000,0.000000
53.88333614,0.01831084,0.00364351,0.00000227,367406.00000000,0.00753262,0.000000,0.000000
53.90000281,0.01826727,0.00357639,0.00000302,369258.00000000,0.00833386,0.000000,0.000000
53.91666948,0.01825746,0.00533811,0.00000546,370931.00000000,0.01600904,0.000000,0.000000
53.93333615,0.01825770,0.00440879,0.00000886,373437.00000000,0.01831308,0.000000,0.000000
53.95000281,0.01826277,0.01078496,0.00000530,375369.00000000,0.01943361,0.000000,0.000000
53.96666948,0.01823799,0.00383006,0.00000476,377080.00000000,0.01249071,0.000000,0.000000
53.98333615,0.01822552,0.00567138,0.00000518,378760.00000000,0.01531911,0.000000,0.000000
54.00000282,0.01821942,0.00526471,0.00000785,380645.00000000,0.01679121,0.000000,0.000000
54.01666948,0.01828992,0.01158562,0.00001170,382331.00000000,0.03485951,0.000000,0.000000
54.03333615,0.01832366,0.00631170,0.00000876,383751.00000000,0.02628631,0.000000,0.000000
54.05000282,0.01833856,0.00672956,0.00000989,385735.00000000,0.02186845,0.000000,0.000000
54.06666949,0.01840858,0.01633957,0.00000600,387578.00000000,0.03507276,0.000000,0.000000
54.08333615,0.01845867,0.01043925,0.00000561,390870.00000000,0.03043166,0.000000,0.000000
54.10000282,0.01840737,0.00283203,0.00000201,394774.00000000,0.00609586,0.000000,0.000000
54.11666949,0.01836358,0.00476143,0.00000133,396511.00000000,0.00781016,0.000000,0.000000
54.13333616,0.01832183,0.00365347,0.00000293,398998.00000000,0.00821817,0.000000,0.000000
54.15000282,0.01828205,0.00416756,0.00000340,400953.00000000,0.00861451,0.000000,0.000000
54.16666949,0.01835342,0.02196492,0.00000384,402713.00000000,0.03576802,0.000000,0.000000
54.18333616,0.01846120,0.01657003,0.00000585,407698.00000000,0.04486716,0.000000,0.000000
54.20000283,0.01846893,0.00426810,0.00000893,412243.00000000,0.02037066,0.000000,0.000000
54.21666949,0.01851447,0.00836784,0.00000792,413837.00000000,0.02976201,0.000000,0.000000
54.23333616,0.01867993,0.02326883,0.00002074,416371.00000000,0.05971534,0.000000,0.000000
54.25000283,0.01871945,0.00618323,0.00000935,417777.00000000,0.02856011,0.000000,0.000000
54.26666950,0.01881873,0.01146912,0.00001189,419585.00000000,0.04363880,0.000000,0.000000
54.28333616,0.01897509,0.01368940,0.00001393,422769.00000000,0.05822114,0.000000,0.000000
54.30000283,0.01899441,0.00804647,0.00000791,425801.00000000,0.02386149,0.000000,0.000000
54.31666950,0.01919017,0.01679797,0.00001691,427557.00000000,0.06871829,0.000000,0.000000
54.33333617,0.01934133,0.01231413,0.00002352,430075.00000000,0.05773686,0.000000,0.000000
54.35000283,0.01934290,0.00339729,0.00001031,428915.00000000,0.01974226,0.000000,0.000000
54.36666950,0.01938572,0.01097262,0.00000409,429087.00000000,0.03034661,0.000000,0.000000
54.38333617,0.01946164,0.01512107,0.00000422,433209.00000000,0.03897470,0.000000,0.000000
54.40000284,0.01941345,0.00292157,0.00000204,437638.00000000,0.00698085,0.000000,0.000000
54.41666951,0.01938529,0.00446139,0.00000244,439281.00000000,0.01209169,0.000000,0.000000
54.43333617,0.01935116,0.00369135,0.00000345,441822.00000000,0.01047744,0.000000,0.000000
